Episode 89: Loss 3.66, Reward 13, Avgloss 4.15, Avgreward 28.53, Epsilon 0.47, TotalStep 3558
Episode 90: Loss 8.34, Reward 46, Avgloss 4.20, Avgreward 28.73, Epsilon 0.47, TotalStep 3615
Episode 91: Loss 8.23, Reward 42, Avgloss 4.24, Avgreward 28.87, Epsilon 0.47, TotalStep 3668
Episode 92: Loss 6.41, Reward 28, Avgloss 4.27, Avgreward 28.86, Epsilon 0.46, TotalStep 3707
Episode 93: Loss 8.23, Reward 37, Avgloss 4.31, Avgreward 28.95, Epsilon 0.46, TotalStep 3755
Episode 94: Loss 8.19, Reward 41, Avgloss 4.35, Avgreward 29.07, Epsilon 0.46, TotalStep 3807
Episode 95: Loss 5.81, Reward 37, Avgloss 4.36, Avgreward 29.16, Epsilon 0.46, TotalStep 3855
Episode 96: Loss 6.36, Reward 44, Avgloss 4.38, Avgreward 29.31, Epsilon 0.46, TotalStep 3910
Episode 97: Loss 8.36, Reward 44, Avgloss 4.42, Avgreward 29.46, Epsilon 0.46, TotalStep 3965
Episode 98: Loss 10.03, Reward 44, Avgloss 4.48, Avgreward 29.61, Epsilon 0.46, TotalStep 4020
Episode 99: Loss 12.64, Reward 40, Avgloss 4.56, Avgreward 29.71, Epsilon 0.46, TotalStep 4071
Episode 0: Loss 40.54, Reward -56, Avgloss 40.54, Avgreward -56.00, Epsilon 0.50, TotalStep 45
Episode 1: Loss 42.40, Reward -51, Avgloss 41.47, Avgreward -53.50, Epsilon 0.50, TotalStep 95
Episode 2: Loss 49.12, Reward -49, Avgloss 44.02, Avgreward -52.00, Epsilon 0.50, TotalStep 147
Episode 3: Loss 48.76, Reward -49, Avgloss 45.21, Avgreward -51.25, Epsilon 0.50, TotalStep 199
Episode 4: Loss 74.89, Reward -47, Avgloss 51.14, Avgreward -50.40, Epsilon 0.50, TotalStep 253
Episode 5: Loss 30.72, Reward -70, Avgloss 47.74, Avgreward -53.67, Epsilon 0.50, TotalStep 284
Episode 6: Loss 52.89, Reward -48, Avgloss 48.47, Avgreward -52.86, Epsilon 0.50, TotalStep 337
Episode 7: Loss 45.33, Reward -51, Avgloss 48.08, Avgreward -52.62, Epsilon 0.50, TotalStep 387
Episode 8: Loss 64.84, Reward -49, Avgloss 49.94, Avgreward -52.22, Epsilon 0.50, TotalStep 439
Episode 9: Loss 37.13, Reward -51, Avgloss 48.66, Avgreward -52.10, Epsilon 0.50, TotalStep 489
Episode 10: Loss 50.97, Reward -51, Avgloss 48.87, Avgreward -52.00, Epsilon 0.49, TotalStep 539
Episode 11: Loss 38.40, Reward -65, Avgloss 48.00, Avgreward -53.08, Epsilon 0.49, TotalStep 575
Episode 12: Loss 47.23, Reward -49, Avgloss 47.94, Avgreward -52.77, Epsilon 0.49, TotalStep 627
Episode 13: Loss 40.76, Reward -48, Avgloss 47.43, Avgreward -52.43, Epsilon 0.49, TotalStep 680
Episode 14: Loss 54.87, Reward -48, Avgloss 47.92, Avgreward -52.13, Epsilon 0.49, TotalStep 733
Episode 15: Loss 27.68, Reward -66, Avgloss 46.66, Avgreward -53.00, Epsilon 0.49, TotalStep 768
Episode 16: Loss 36.73, Reward -51, Avgloss 46.07, Avgreward -52.88, Epsilon 0.49, TotalStep 818
Episode 17: Loss 48.69, Reward -51, Avgloss 46.22, Avgreward -52.78, Epsilon 0.49, TotalStep 868
Episode 18: Loss 38.77, Reward -66, Avgloss 45.83, Avgreward -53.47, Epsilon 0.49, TotalStep 903
Episode 19: Loss 56.95, Reward -51, Avgloss 46.38, Avgreward -53.35, Epsilon 0.49, TotalStep 953
Episode 20: Loss 39.94, Reward -50, Avgloss 46.08, Avgreward -53.19, Epsilon 0.49, TotalStep 1004
Episode 21: Loss 63.82, Reward -45, Avgloss 46.88, Avgreward -52.82, Epsilon 0.49, TotalStep 1060
Episode 22: Loss 44.97, Reward -64, Avgloss 46.80, Avgreward -53.30, Epsilon 0.49, TotalStep 1097
Episode 23: Loss 63.85, Reward -51, Avgloss 47.51, Avgreward -53.21, Epsilon 0.49, TotalStep 1147
Episode 24: Loss 40.94, Reward -52, Avgloss 47.25, Avgreward -53.16, Epsilon 0.49, TotalStep 1196
Episode 25: Loss 35.54, Reward -66, Avgloss 46.80, Avgreward -53.65, Epsilon 0.49, TotalStep 1231
Episode 26: Loss 27.48, Reward -77, Avgloss 46.08, Avgreward -54.52, Epsilon 0.49, TotalStep 1255
Episode 27: Loss 38.82, Reward -60, Avgloss 45.82, Avgreward -54.71, Epsilon 0.49, TotalStep 1296
